Code,Name,Country,Exchange,Currency,Type,Isin
ADM,Archer-Daniels-Midland Company,USA,NYSE,USD,Common Stock,US0394831020
ADNT,Adient PLC,USA,NYSE,USD,Common Stock,IE00BD845X29
ADPV,Series Portfolios Trust - Adaptive Select ETF,USA,NYSE ARCA,USD,ETF,US81752T5368
ADRT,Ault Disruptive Technologies Corp,USA,NYSE MKT,USD,Common Stock,US05150A1043
ADT,ADT Inc,USA,NYSE,USD,Common Stock,US00090Q1031
ADVE,Matthews International Funds,USA,NYSE ARCA,USD,Common Stock,
ADX,Adams Diversified Equity Closed Fund,USA,NYSE,USD,FUND,US0062121043
AE,Adams Resources & Energy Inc,USA,NYSE MKT,USD,Common Stock,US0063513081
AEE,Ameren Corp,USA,NYSE,USD,Common Stock,US0236081024
AEF,Abrdn Emerging Markets Equity Income Fund Inc,USA,NYSE MKT,USD,Common Stock,US00301W1053
AEFC,Aegon Funding Company LLC 5.10%,USA,NYSE,USD,Common Stock,
AEG,Aegon NV ADR,USA,NYSE,USD,Common Stock,US0079241032
AEL,American Equity Investment Life Holding Co,USA,NYSE,USD,Common Stock,US0256762065
AEL-PA,American Equity Investment Life Holding Company,USA,NYSE,USD,Preferred Stock,
AEM,Agnico Eagle Mines Limited,USA,NYSE,USD,Common Stock,CA0084741085
AEMB,American Century Emerging Markets Bond ETF,USA,NYSE ARCA,USD,ETF,US0250724145
AENZ,Aenza SAA,USA,NYSE,USD,Common Stock,US00776D1037
AEO,American Eagle Outfitters Inc,USA,NYSE,USD,Common Stock,US02553E1064
AEON,AEON Biopharma Inc.,USA,NYSE MKT,USD,Common Stock,US00775E1029
AEON-WT,AEON-WS,USA,NYSE MKT,USD,Common Stock,
AER,AerCap Holdings NV,USA,NYSE,USD,Common Stock,NL0000687663
AES,The AES Corporation,USA,NYSE,USD,Common Stock,US00130H1059
AESC,AES Corp Unit,USA,NYSE,USD,Unit,US00130H2040
AESI,Atlas Energy Solutions Inc.,USA,NYSE,USD,Common Stock,
AETH,Bitwise Funds Trust,USA,NYSE ARCA,USD,Common Stock,
AEVA,Aeva Technologies Inc,USA,NYSE,USD,Common Stock,US00835Q1031
AEVA-WT,Aeva Technologies Inc. Wt,USA,NYSE,USD,Common Stock,
AFB,AllianceBernstein National Municipal Income Fund,USA,NYSE,USD,FUND,US01864U1060
AFG,American Financial Group Inc,USA,NYSE,USD,Common Stock,US0259321042
AFGB,American Financial Group Inc,USA,NYSE,USD,Preferred Stock,US0259328070
AFGC,American Financial Group Inc,USA,NYSE,USD,Preferred Stock,US0259328807
AFGD,American Financial Group Inc,USA,NYSE,USD,Preferred Stock,US0259328724
AFGE,American Financial Group AFGE,USA,NYSE,USD,Common Stock,US0259328641
AFK,VanEck Africa Index ETF,USA,NYSE ARCA,USD,ETF,US92189F8665
AFL,Aflac Incorporated,USA,NYSE,USD,Common Stock,US0010551028
AFLG,First Trust Active Factor Large Cap ETF,USA,NYSE ARCA,USD,ETF,US33740F8216
AFMC,First Trust Active Factor Mid Cap ETF,USA,NYSE ARCA,USD,ETF,US33740F8133
AFSM,First Trust Active Factor Small Cap ETF,USA,NYSE ARCA,USD,ETF,US33740F7978
AFT,Apollo Senior Floating Rate Closed Fund,USA,NYSE,USD,FUND,US0376361079
AFTY,Pacer CSOP FTSE China A50 ETF,USA,NYSE ARCA,USD,ETF,US69374H6264
AG,First Majestic Silver Corp,USA,NYSE,USD,Common Stock,CA32076V1031
AGCO,AGCO Corporation,USA,NYSE,USD,Common Stock,US0010841023
AGD,Aberdeen Global Dynamic Dividend Fund,USA,NYSE,USD,FUND,US00302M1062
AGE,AgeX Therapeutics Inc,USA,NYSE MKT,USD,Common Stock,US00848H1086
AGG,iShares Core U.S. Aggregate Bond ETF,USA,NYSE ARCA,USD,ETF,US4642872265
AGGH,Simplify Exchange Traded Funds,USA,NYSE ARCA,USD,Common Stock,
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,USA,NYSE ARCA,USD,ETF,US97717X5115
AGI,Alamos Gold Inc,USA,NYSE,USD,Common Stock,CA0115321089
AGIH,iShares U.S. ETF Trust - iShares Inflation Hedged U.S. Aggregate Bond ETF,USA,NYSE ARCA,USD,ETF,US46431W5233
AGL,agilon health Inc,USA,NYSE,USD,Common Stock,US00857U1079
AGM,Federal Agricultural Mortgage,USA,NYSE,USD,Common Stock,US3131483063
AGM-A,Federal Agricultural Mortgage Corporation,USA,NYSE,USD,Common Stock,US3131481083
AGM-PC,Federal Agricultural Mortgage Corporation,USA,NYSE,USD,Preferred Stock,
AGM-PD,Federal Agricultural Mortgage Corporation,USA,NYSE,USD,Preferred Stock,
AGM-PE,Federal Agricultural Mortgage Corporation,USA,NYSE,USD,Preferred Stock,
AGM-PF,Federal Agricultural Mortgage Corporation,USA,NYSE,USD,Preferred Stock,
AGM-PG,Federal Agricultural Mortgage Corporation,USA,NYSE,USD,Preferred Stock,
AGO,Assured Guaranty Ltd,USA,NYSE,USD,Common Stock,BMG0585R1060
AGOV,Gavekal Asia Pacific Government Bond ETF,USA,NYSE ARCA,USD,ETF,US30151E6573
AGOX,Adaptive Alpha Opportunities ETF,USA,NYSE ARCA,USD,ETF,US85521B7423
AGQ,ProShares Ultra Silver,USA,NYSE ARCA,USD,ETF,US74347W3530
AGR,Avangrid Inc,USA,NYSE,USD,Common Stock,US05351W1036
AGRH,iShares U.S. ETF Trust - iShares Interest Rate Hedged U.S. Aggregate Bond ETF,USA,NYSE ARCA,USD,ETF,US46431W5316
AGRO,Adecoagro SA,USA,NYSE,USD,Common Stock,LU0584671464
AGS,PlayAGS Inc,USA,NYSE,USD,Common Stock,US72814N1046
AGTI,Agiliti Inc,USA,NYSE,USD,Common Stock,US00848J1043
AGX,Argan Inc,USA,NYSE,USD,Common Stock,US04010E1091
AGZ,iShares Agency Bond ETF,USA,NYSE ARCA,USD,ETF,US4642881662
AHH,Armada Hflr Pr,USA,NYSE,USD,Common Stock,US04208T1088
AHH-PA,Armada Hoffler Properties Inc,USA,NYSE,USD,Preferred Stock,
AHL-PC,Aspen Insurance Holdings Limited,USA,NYSE,USD,Preferred Stock,
AHL-PD,Aspen Insurance Holdings Limited,USA,NYSE,USD,Preferred Stock,
AHL-PE,Aspen Insurance Holdings Limited,USA,NYSE,USD,Preferred Stock,
AHLT,American Beacon Select Funds,USA,NYSE ARCA,USD,Common Stock,
AHOY,Tidal ETF Trust,USA,NYSE ARCA,USD,ETF,US8863645797
AHT,Ashford Hospitality Trust Inc,USA,NYSE,USD,Common Stock,US0441031095
AHT-PD,Ashford Hospitality Trust Inc,USA,NYSE,USD,Preferred Stock,
AHT-PF,Ashford Hospitality Trust Inc,USA,NYSE,USD,Preferred Stock,
AHT-PG,Ashford Hospitality Trust Inc,USA,NYSE,USD,Preferred Stock,
AHT-PH,Ashford Hospitality Trust Inc,USA,NYSE,USD,Preferred Stock,
AHT-PI,Ashford Hospitality Trust Inc,USA,NYSE,USD,Preferred Stock,
AHYB,American Century ETF Trust,USA,NYSE ARCA,USD,ETF,US0250723311
AI,C3 Ai Inc,USA,NYSE,USD,Common Stock,US12468P1049
AIC,Arlington Asset Investment Corp ELKS,USA,NYSE,USD,Common Stock,US0413565021
AIDB,Exchange Listed Funds Trust,USA,NYSE ARCA,USD,Common Stock,
AIEQ,AI Powered Equity ETF,USA,NYSE ARCA,USD,ETF,US26924G8134
AIF,Apollo Tactical Income Closed Fund,USA,NYSE,USD,FUND,US0376381036
AIG,American International Group Inc,USA,NYSE,USD,Common Stock,US0268747849
AIG-PA,American International Group Inc,USA,NYSE,USD,Preferred Stock,
AIM,AIM ImmunoTech Inc,USA,NYSE MKT,USD,Common Stock,US00901B1052
AIN,Albany International Corporation,USA,NYSE,USD,Common Stock,US0123481089
AINC,Ashford Inc,USA,NYSE MKT,USD,Common Stock,US0441041078
AIO,Virtus AllianzGI Artificial Intell & Tech Opps,USA,NYSE,USD,FUND,US92838Y1001
AIR,AAR Corp,USA,NYSE,USD,Common Stock,US0003611052
AIRC,Apartment Income REIT Corp,USA,NYSE,USD,Common Stock,US03750L1098
AIRI,Air Industries Group,USA,NYSE MKT,USD,Common Stock,US00912N2053
AIT,Applied Industrial Technologies,USA,NYSE,USD,Common Stock,US03820C1053
AIU,Meta Data Ltd,USA,NYSE,USD,Common Stock,US68276W4006
AIV,Apartment Investment and Management Co,USA,NYSE,USD,Common Stock,US03748R7474
AIVI,WisdomTree International Al Enhanced Value Fund,USA,NYSE ARCA,USD,ETF,US97717W7864
AIVL,WisdomTree Trust - WisdomTree U.S. AI Enhanced Value Fund,USA,NYSE ARCA,USD,ETF,US97717W4069
AIZ,Assurant Inc,USA,NYSE,USD,Common Stock,US04621X1081
AIZN,Assurant Inc,USA,NYSE,USD,Common Stock,US04621X3061
AJG,Arthur J Gallagher & Co,USA,NYSE,USD,Common Stock,US3635761097
AJX,Great Ajax Corp,USA,NYSE,USD,Common Stock,US38983D3008
AJXA,Great Ajax Corp. 7.25 CV SR NT 24,USA,NYSE,USD,Common Stock,US38983D4097
AKA,AKA Brands Holding Corp,USA,NYSE,USD,Common Stock,US00152K1016
AKO-A,Embotelladora Andina S.A,USA,NYSE,USD,Common Stock,US29081P2048
AKO-B,Embotelladora Andina S.A,USA,NYSE,USD,Common Stock,US29081P3038
AKR,Acadia Realty Trust,USA,NYSE,USD,Common Stock,US0042391096
AL,Air Lease Corporation,USA,NYSE,USD,Common Stock,US00912X3026
AL-PA,Air Lease Corporation,USA,NYSE,USD,Preferred Stock,
ALB,Albemarle Corp,USA,NYSE,USD,Common Stock,US0126531013
ALC,Alcon AG,USA,NYSE,USD,Common Stock,CH0432492467
ALCC,AltC Acquisition Corp,USA,NYSE,USD,Common Stock,US02156V1098
ALE,Allete Inc,USA,NYSE,USD,Common Stock,US0185223007
ALEX,Alexander & Baldwin Holdings Inc,USA,NYSE,USD,Common Stock,US0144911049
ALG,Alamo Group Inc,USA,NYSE,USD,Common Stock,US0113111076
ALIT,Alight Inc,USA,NYSE,USD,Common Stock,US01626W1018
ALK,Alaska Air Group Inc,USA,NYSE,USD,Common Stock,US0116591092
ALL,The Allstate Corporation,USA,NYSE,USD,Common Stock,US0200021014
ALL-P-J,ALL-P-J,USA,NYSE,USD,Preferred Stock,
ALL-PB,The Allstate Corporation,USA,NYSE,USD,Preferred Stock,
ALL-PH,The Allstate Corporation,USA,NYSE,USD,Preferred Stock,
ALL-PI,The Allstate Corporation,USA,NYSE,USD,Preferred Stock,
ALLE,Allegion PLC,USA,NYSE,USD,Common Stock,IE00BFRT3W74
ALLG,Allego US Inc,USA,NYSE,USD,Common Stock,NL0015000TA9
ALLY,Ally Financial Inc,USA,NYSE,USD,Common Stock,US02005N1000
ALSN,Allison Transmission Holdings Inc,USA,NYSE,USD,Common Stock,US01973R1014
ALTG,Alta Equipment Group Inc,USA,NYSE,USD,Common Stock,US02128L1061
ALTG-PA,Alta Equipment Group Inc.,USA,NYSE,USD,Preferred Stock,
ALTL,Pacer Lunt Large Cap Alternator ETF,USA,NYSE ARCA,USD,ETF,US69374H7171
ALUR,Allurion Technologies Inc.,USA,NYSE,USD,Common Stock,
ALV,Autoliv Inc,USA,NYSE,USD,Common Stock,US0528001094
ALX,Alexanders Inc,USA,NYSE,USD,Common Stock,US0147521092
AM,Antero Midstream Partners LP,USA,NYSE,USD,Common Stock,US03676B1026
AMAX,Starboard Investment Trust,USA,NYSE ARCA,USD,Common Stock,
AMBC,Ambac Financial Group Inc,USA,NYSE,USD,Common Stock,US0231398845
AMBI,Ambipar Emergency Response,USA,NYSE MKT,USD,Common Stock,
AMBO,Ambow Education Holding Ltd,USA,NYSE MKT,USD,Common Stock,US02322P2002
AMBP,Ardagh Metal Packaging SA,USA,NYSE,USD,Common Stock,LU2369833749
AMC,AMC Entertainment Holdings Inc,USA,NYSE,USD,Common Stock,US00165C1045
AMCR,Amcor PLC,USA,NYSE,USD,Common Stock,JE00BJ1F3079
AMDY,Tidal Trust II,USA,NYSE ARCA,USD,ETF,US88634T4774
AME,Ametek Inc,USA,NYSE,USD,Common Stock,US0311001004
AMG,Affiliated Managers Group Inc,USA,NYSE,USD,Common Stock,US0082521081
AMH,American Homes 4 Rent,USA,NYSE,USD,Common Stock,US02665T3068
AMH-P-G,AMH-P-G,USA,NYSE,USD,Preferred Stock,
AMH-P-H,AMH-P-H,USA,NYSE,USD,Preferred Stock,
AMH-PG,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,USA,NYSE,USD,Preferred Stock,
AMH-PH,American Homes 4 Rent,USA,NYSE,USD,Preferred Stock,
AMJ,JPMorgan Alerian MLP Index ETN,USA,NYSE ARCA,USD,ETF,US46625H3654
AMK,AssetMark Financial Holdings Inc,USA,NYSE,USD,Common Stock,US04546L1061
AMLP,Alerian MLP ETF,USA,NYSE ARCA,USD,ETF,US00162Q4525
AMN,AMN Healthcare Services Inc,USA,NYSE,USD,Common Stock,US0017441017
AMNA,ETRACS Alerian Midstream Energy Index ETN,USA,NYSE ARCA,USD,ETF,US90269A3510
AMND,ETRACS Alerian Midstream Energy High Dividend Index ETN,USA,NYSE ARCA,USD,ETF,US90269A2520
AMOM,QRAFT AI-Enhanced U.S. Large Cap Momentum ETF,USA,NYSE ARCA,USD,ETF,US30151E7803
AMP,Ameriprise Financial Inc,USA,NYSE,USD,Common Stock,US03076C1062
AMPD,Tidal Trust II,USA,NYSE ARCA,USD,Common Stock,
AMPE,Ampio Pharm,USA,NYSE MKT,USD,Common Stock,US03209T1097
AMPS,Altus Power Inc,USA,NYSE,USD,Common Stock,US02217A1025
AMPX,Amprius Technologies Inc.,USA,NYSE,USD,Common Stock,
AMPY,Amplify Energy Corp,USA,NYSE,USD,Common Stock,US03212B1035
AMR,Alpha Metallurgical Resources Inc,USA,NYSE,USD,Common Stock,US0207641061
AMRC,Ameresco Inc,USA,NYSE,USD,Common Stock,US02361E1082
AMRX,Amneal Pharmaceuticals Inc Class A,USA,NYSE,USD,Common Stock,US03168L1052
AMS,American Shared Hospital Srvcs,USA,NYSE MKT,USD,Common Stock,US0295951059
AMT,American Tower Corp,USA,NYSE,USD,Common Stock,US03027X1000
AMTB,Amerant Bancorp Inc.,USA,NYSE,USD,Common Stock,US0235761014
AMTD,AMTD IDEA Group,USA,NYSE,USD,Common Stock,US00180G2057
AMTR,ETRACS Alerian Midstream Energy Total Return Index ETN,USA,NYSE ARCA,USD,ETF,US90269A2454
AMUB,UBS AG London Branch ELKS 5,USA,NYSE ARCA,USD,ETF,US90274D3742
AMWL,American Well Corp,USA,NYSE,USD,Common Stock,US03044L1052
AMX,America Movil SAB de CV ADR,USA,NYSE,USD,Common Stock,US02364W1053
AMZA,InfraCap MLP ETF,USA,NYSE ARCA,USD,ETF,US26923G7723
AMZY,YieldMax AMZN Option Income Strategy ETF,USA,NYSE ARCA,USD,ETF,US88634T8403
AN,AutoNation Inc,USA,NYSE,USD,Common Stock,US05329W1027
ANET,Arista Networks,USA,NYSE,USD,Common Stock,US0404131064
ANEW,ProShares MSCI Transformational Changes ETF,USA,NYSE ARCA,USD,ETF,US74347G7960
ANF,Abercrombie & Fitch Company,USA,NYSE,USD,Common Stock,US0028962076
ANVS,Annovis Bio Inc,USA,NYSE,USD,Common Stock,US03615A1088
AOA,iShares Core Aggressive Allocation ETF,USA,NYSE ARCA,USD,ETF,US4642898591
AOD,Aberdeen Total Dynamic Dividend Fund,USA,NYSE,USD,FUND,US00326L1008
AOK,iShares Core Conservative Allocation ETF,USA,NYSE ARCA,USD,ETF,US4642898831
AOM,iShares Core Moderate Allocation ETF,USA,NYSE ARCA,USD,ETF,US4642898757
AOMR,Angel Oak Mortgage Inc,USA,NYSE,USD,Common Stock,US03464Y1082
AON,Aon PLC,USA,NYSE,USD,Common Stock,IE00BLP1HW54
AOR,iShares Core Growth Allocation ETF,USA,NYSE ARCA,USD,ETF,US4642898674
AORT,Artivion Inc,USA,NYSE,USD,Common Stock,US2289031005
AOS,Smith AO Corporation,USA,NYSE,USD,Common Stock,US8318652091
AP,Ampco-Pittsburgh Corporation,USA,NYSE,USD,Common Stock,US0320371034
APAM,Artisan Partners Asset Management Inc,USA,NYSE,USD,Common Stock,US04316A1088
APCA,AP Acquisition Corp,USA,NYSE,USD,Common Stock,KYG040581061
APCB,Trust For Professional Managers,USA,NYSE ARCA,USD,Common Stock,
APD,Air Products and Chemicals Inc,USA,NYSE,USD,Common Stock,US0091581068
APG,Api Group Corp,USA,NYSE,USD,Common Stock,US00187Y1001
APGB,Apollo Strategic Growth Capital II,USA,NYSE,USD,Common Stock,KYG0412A1022
APH,Amphenol Corporation,USA,NYSE,USD,Common Stock,US0320951017
APIE,Trust For Professional Managers,USA,NYSE ARCA,USD,Common Stock,
APLE,Apple Hospitality REIT Inc,USA,NYSE,USD,Common Stock,US03784Y2000
APLY,YieldMax AAPL Option Income Strategy ETF,USA,NYSE ARCA,USD,ETF,US88634T8577
APMU,Trust For Professional Managers,USA,NYSE ARCA,USD,Common Stock,
APO,Apollo Global Management LLC Class A,USA,NYSE,USD,Common Stock,US03769M1062
APOS,APOS,USA,NYSE,USD,Common Stock,
APRT,AllianzIM U.S. Large Cap Buffer10 Apr ETF,USA,NYSE ARCA,USD,ETF,US00888H1095
APRW,AllianzIM U.S. Large Cap Buffer20 Apr ETF,USA,NYSE ARCA,USD,ETF,US00888H2085
APT,Alpha Pro Tech Ltd,USA,NYSE MKT,USD,Common Stock,US0207721095
APTV,Aptiv PLC,USA,NYSE,USD,Common Stock,JE00B783TY65
APUE,Trust For Professional Managers,USA,NYSE ARCA,USD,Common Stock,
AQN,Algonquin Power & Utilities Corp,USA,NYSE,USD,Common Stock,CA0158571053
AQNA,Algonquin Power Utilities Corp,USA,NYSE,USD,Common Stock,US0158577090
AQNB,Algonquin Power Utilities Corp,USA,NYSE,USD,Common Stock,US0158578080
AQNU,Algonquin Power & Utilities Corp Unit,USA,NYSE,USD,Unit,US0158578734
AR,Antero Resources Corp,USA,NYSE,USD,Common Stock,US03674X1063
ARB,AltShares Trust - AltShares Merger Arbitrage ETF,USA,NYSE ARCA,USD,ETF,US02210T1088
ARC,ARC Document Solutions Inc,USA,NYSE,USD,Common Stock,US00191G1031
ARCH,Arch Resources Inc,USA,NYSE,USD,Common Stock,US03940R1077
ARCO,Arcos Dorados Holdings Inc,USA,NYSE,USD,Common Stock,VGG0457F1071
ARDC,Ares Dynamic Credit Allocation Fund Inc,USA,NYSE,USD,FUND,US04014F1021
ARE,Alexandria Real Estate Equities Inc,USA,NYSE,USD,Common Stock,US0152711091
AREN,Arena Group Holdings Inc,USA,NYSE MKT,USD,Common Stock,US0400441095
ARES,Ares Management LP,USA,NYSE,USD,Common Stock,US03990B1017
ARGD,Argo Group US Inc. 6.5% SR NTS 42,USA,NYSE,USD,Common Stock,
ARGO,Argo Group International Holdings Ltd,USA,NYSE,USD,Common Stock,BMG0464B1072
ARGT,Global X MSCI Argentina ETF,USA,NYSE ARCA,USD,ETF,US37950E2596
ARI,Apollo Commercial Real Estate Finance Inc,USA,NYSE,USD,Common Stock,US03762U1051
ARIS,Aris Water Solutions Inc,USA,NYSE,USD,Common Stock,US04041L1061
ARKF,ARK Fintech Innovation ETF,USA,NYSE ARCA,USD,ETF,US00214Q7088
ARKK,ARK Innovation ETF,USA,NYSE ARCA,USD,ETF,US00214Q1040
ARKW,ARK Next Generation Internet ETF,USA,NYSE ARCA,USD,ETF,US00214Q4010
ARL,American Realty Investors Inc,USA,NYSE,USD,Common Stock,US0291741090
ARLO,Arlo Technologies,USA,NYSE,USD,Common Stock,US04206A1016
ARMK,Aramark Holdings,USA,NYSE,USD,Common Stock,US03852U1060
ARMN,Aris Mining Corporation,USA,NYSE MKT,USD,Common Stock,
ARMP,Armata Pharmaceuticals Inc,USA,NYSE MKT,USD,Common Stock,US04216R1023
ARMR,Armor US Equity Index ETF,USA,NYSE ARCA,USD,ETF,US30151E7647
AROC,Archrock Inc,USA,NYSE,USD,Common Stock,US03957W1062
ARP,Advisors Inner Circle Fund II - Pmv Adaptive Risk Parity Etf,USA,NYSE ARCA,USD,ETF,US00791R3012
ARR,ARMOUR Residential REIT Inc,USA,NYSE,USD,Common Stock,US0423155078
ARR-PC,ARMOUR Residential REIT Inc,USA,NYSE,USD,Preferred Stock,
ARW,Arrow Electronics Inc,USA,NYSE,USD,Common Stock,US0427351004
ASA,ASA Gold and Precious Metals Ltd,USA,NYSE,USD,Common Stock,BMG3156P1032
ASAI,Sendas Distribuidora SA,USA,NYSE,USD,Common Stock,US81689T1043
ASAN,Asana Inc,USA,NYSE,USD,Common Stock,US04342Y1047
ASB,Associated Banc-Corp,USA,NYSE,USD,Common Stock,US0454871056
ASB-PE,Associated Banc-Corp,USA,NYSE,USD,Preferred Stock,
ASB-PF,Associated Banc-Corp,USA,NYSE,USD,Preferred Stock,
ASBA,ASBA,USA,NYSE,USD,Common Stock,
ASC,Ardmore Shpng,USA,NYSE,USD,Common Stock,MHY0207T1001
ASEA,Global X FTSE Southeast Asia ETF,USA,NYSE ARCA,USD,ETF,US37950E6480
ASG,Liberty All Star Growth Closed Fund,USA,NYSE,USD,FUND,US5299001025
ASGI,Aberdeen Standard Global Infrastructure Income Fund,USA,NYSE,USD,Common Stock,US00326W1062
ASGN,ASGN Inc,USA,NYSE,USD,Common Stock,US00191U1025
ASH,Ashland Global Holdings Inc,USA,NYSE,USD,Common Stock,US0441861046
ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,USA,NYSE ARCA,USD,ETF,US2330518794
ASHS,Xtrackers Harvest CSI 500 China-A Shares Small Cap ETF,USA,NYSE ARCA,USD,ETF,US2330517549
ASHX,Xtrackers MSCI China A Inclusion Equity ETF,USA,NYSE ARCA,USD,ETF,US2330515238
ASIX,AdvanSix Inc,USA,NYSE,USD,Common Stock,US00773T1016
ASM,Avino Silver & Gold Mines Ltd,USA,NYSE MKT,USD,Common Stock,CA0539061030
ASPN,Aspen Aerogels Inc,USA,NYSE,USD,Common Stock,US04523Y1055
ASPY,ASYMshares ASYMmetric S&P® 500 ETF,USA,NYSE ARCA,USD,ETF,US04651A1016
ASR,Grupo Aeroportuario del Sureste SAB de CV ADR,USA,NYSE,USD,Common Stock,US40051E2028
ASX,ASE Industrial Holding Co Ltd ADR,USA,NYSE,USD,Common Stock,US00215W1009
ASXC,Asensus Surgical Inc,USA,NYSE MKT,USD,Common Stock,US04367G1031
ATCO-PD,Atlas Corp,USA,NYSE,USD,Preferred Stock,
ATCO-PH,Atlas Corp,USA,NYSE,USD,Preferred Stock,
ATCO-PI,Atlas Corp,USA,NYSE,USD,Preferred Stock,
ATEK,Athena Technology Acquisition Corp. II,USA,NYSE MKT,USD,Common Stock,US04687C1053
