Code,Name,Country,Exchange,Currency,Type,Isin
AABPX,"AMERICAN BEACON BALANCED FUND INVESTOR CLASS",USA,NMFQS,USD,FUND,US02368A8282
AABQX,"American Century One Choice Blend+ 2025 Portfolio A Class",USA,NMFQS,USD,FUND,
AABRX,"American Century One Choice Blend+ 2025 Portfolio R Class",USA,NMFQS,USD,FUND,
AABTX,"AMERICAN FUNDS 2015 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,US02630T7046
AABVF,"Aberdeen International Inc",USA,PINK,USD,"Common Stock",
AABVX,"American Century One Choice Blend+ 2025 Portfolio R6 Class",USA,NMFQS,USD,FUND,
AABWX,"American Century One Choice Blend+ 2030 Portfolio Investor Class",USA,NMFQS,USD,FUND,
AABZX,"American Century One Choice Blend+ 2030 Portfolio A Class",USA,NMFQS,USD,FUND,
AAC,"AAC Holdings Inc",USA,NYSE,USD,"Common Stock",KYG330321061
AAC-UN,"Ares Acquisition Corp",USA,NASDAQ,USD,"Common Stock",
AAC-WT,"Ares Acquisition Corporation Re",USA,NYSE,USD,"Common Stock",
AACAF,"AAC Technologies Holdings Inc",USA,PINK,USD,"Common Stock",
AACAY,"AAC Technologies Holdings Inc",USA,PINK,USD,"Common Stock",US0003041052
AACCX,"STRATEGIC ALLOCATION: CONSERVATIVE FUND C CLASS",USA,NMFQS,USD,FUND,
AACDX,"STRATEGIC ALLOCATION: CONSERVATIVE FUND R6 CLASS",USA,NMFQS,USD,FUND,
AACFX,"INVESCO GREATER CHINA FUND CLASS A",USA,NMFQS,USD,FUND,
AACG,"ATA Inc",USA,NASDAQ,USD,"Common Stock",US00211V1061
AACGX,"STRATEGIC ALLOCATION: CONSERVATIVE FUND R5 CLASS",USA,NMFQS,USD,FUND,
AACHX,"American Century One Choice Blend+ 2030 Portfolio R Class",USA,NMFQS,USD,FUND,
AACI,"Armada Acquisition Corp I",USA,NASDAQ,USD,"Common Stock",US04208V1035
AACIU,"Armada Acquisition Corp I Unit",USA,NASDAQ,USD,Unit,US04208V2025
AACIW,"Armada Acquisition Corp. I Warrant",USA,NASDAQ,USD,"Common Stock",
AACJX,"American Century One Choice Blend+ 2030 Portfolio R6 Class",USA,NMFQS,USD,FUND,
AACKX,"American Century One Choice Blend+ 2035 Portfolio Investor Class",USA,NMFQS,USD,FUND,
AACLX,"American Century One Choice Blend+ 2035 Portfolio I Class",USA,NMFQS,USD,FUND,
AACMX,"American Century One Choice Blend+ 2035 Portfolio A Class",USA,NMFQS,USD,FUND,
AACOX,"OPPORTUNISTIC FUND CLASS C",USA,NMFQS,USD,FUND,
AACPX,"American Century One Choice Blend+ 2035 Portfolio R Class",USA,NMFQS,USD,FUND,
AACQX,"American Century One Choice Blend+ 2035 Portfolio R6 Class",USA,NMFQS,USD,FUND,
AACRX,"STRATEGIC ALLOCATION: CONSERVATIVE FUND R CLASS",USA,NMFQS,USD,FUND,
AACS,"American Commerce Solutions Inc",USA,PINK,USD,"Common Stock",US0251991008
AACSX,"American Century One Choice Blend+ 2040 Portfolio Investor Class",USA,NMFQS,USD,FUND,
AACT,"Ares Acquisition Corporation II",USA,NYSE,USD,"Common Stock",
AACTF,"Aurora Solar Technologies Inc",USA,PINK,USD,"Common Stock",CA05207J1084
AACTX,"AMERICAN FUNDS 2020 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,US02630T8457
AACUX,"American Century One Choice Blend+ 2040 Portfolio I Class",USA,NMFQS,USD,FUND,
AACVX,"American Century One Choice Blend+ 2040 Portfolio A Class",USA,NMFQS,USD,FUND,
AACWX,"American Century One Choice Blend+ 2040 Portfolio R Class",USA,NMFQS,USD,FUND,
AACZX,"American Century One Choice Blend+ 2040 Portfolio R6 Class",USA,NMFQS,USD,FUND,
AADAX,"INVESCO GROWTH ALLOCATION FUND CLASS A",USA,NMFQS,USD,FUND,US00141M5498
AADBX,"AMERICAN BEACON BALANCED FUND INSTITUTIONAL CLASS",USA,NMFQS,USD,FUND,US02368A1097
AADCX,"INVESCO GROWTH ALLOCATION FUND CLASS C",USA,NMFQS,USD,FUND,US00141M5233
AADEX,"AMERICAN BEACON LARGE CAP VALUE FUND INSTITUTIONAL CLASS",USA,NMFQS,USD,FUND,US02368A2087
AADHX,"American Century One Choice Blend+ 2045 Portfolio Investor Class",USA,NMFQS,USD,FUND,
AADI,"Aadi Bioscience Inc",USA,NASDAQ,USD,"Common Stock",US00032Q1040
AADIX,"INVESCO GROWTH ALLOCATION FUND CLASS R5",USA,NMFQS,USD,FUND,
AADJX,"American Century One Choice Blend+ 2045 Portfolio I Class",USA,NMFQS,USD,FUND,
AADKX,"American Century One Choice Blend+ 2045 Portfolio A Class",USA,NMFQS,USD,FUND,
AADLX,"American Century One Choice Blend+ 2045 Portfolio R Class",USA,NMFQS,USD,FUND,
AADMX,"American Century One Choice Blend+ 2045 Portfolio R6 Class",USA,NMFQS,USD,FUND,
AADNX,"American Century One Choice Blend+ 2050 Portfolio Investor Class",USA,NMFQS,USD,FUND,
AADOX,"American Century One Choice Blend+ 2050 Portfolio I Class",USA,NMFQS,USD,FUND,
AADPX,"American Century One Choice Blend+ 2050 Portfolio A Class",USA,NMFQS,USD,FUND,
AADQX,"American Century One Choice Blend+ 2050 Portfolio R Class",USA,NMFQS,USD,FUND,
AADR,"AdvisorShares Dorsey Wright ADR ETF",USA,NASDAQ,USD,ETF,US00768Y2063
AADRX,"INVESCO GROWTH ALLOCATION FUND CLASS R",USA,NMFQS,USD,FUND,
AADSX,"INVESCO GROWTH ALLOCATION FUND CLASS S",USA,NMFQS,USD,FUND,
AADTX,"AMERICAN FUNDS 2025 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,US02630T7798
AADUX,"American Century One Choice Blend+ 2050 Portfolio R6 Class",USA,NMFQS,USD,FUND,
AADVX,"American Century One Choice Blend+ 2055 Portfolio Investor Class",USA,NMFQS,USD,FUND,
AADWX,"American Century One Choice Blend+ 2055 Portfolio I Class",USA,NMFQS,USD,FUND,
AADYX,"INVESCO GROWTH ALLOCATION FUND CLASS Y",USA,NMFQS,USD,FUND,
AADZX,"American Century One Choice Blend+ 2055 Portfolio A Class",USA,NMFQS,USD,FUND,
AAEDX,"American Century One Choice Blend+ 2055 Portfolio R Class",USA,NMFQS,USD,FUND,
AAEEF,"Altair Resources Inc",USA,PINK,USD,"Common Stock",
AAEEX,"American Century One Choice Blend+ 2055 Portfolio R6 Class",USA,NMFQS,USD,FUND,
AAEFX,"American Century One Choice Blend+ 2060 Portfolio Investor Class",USA,NMFQS,USD,FUND,
AAEGX,"American Century One Choice Blend+ 2060 Portfolio I Class",USA,NMFQS,USD,FUND,
AAEHX,"American Century One Choice Blend+ 2060 Portfolio A Class",USA,NMFQS,USD,FUND,
AAEIX,"American Century One Choice Blend+ 2060 Portfolio R Class",USA,NMFQS,USD,FUND,
AAEJX,"American Century One Choice Blend+ 2060 Portfolio R6 Class",USA,NMFQS,USD,FUND,
AAEKX,"American Century One Choice Blend+ 2065 Portfolio Investor Class",USA,NMFQS,USD,FUND,
AAELX,"American Century One Choice Blend+ 2065 Portfolio I Class",USA,NMFQS,USD,FUND,
AAEMX,"ALGER EMERGING MARKETS FUND ALGER EMERGING MARKETS FUND CLASS A",USA,NMFQS,USD,FUND,
AAENX,"STRATEGIC ENHANCED YIELD FUND CLASS A",USA,NMFQS,USD,FUND,
AAEOX,"American Century One Choice Blend+ 2065 Portfolio A Class",USA,NMFQS,USD,FUND,
AAERX,"American Beacon Intl Equity Fund R6 Cl",USA,NMFQS,USD,FUND,
AAESX,"Invesco Growth Allocation Fund Class R6",USA,NMFQS,USD,FUND,
AAETX,"AMERICAN FUNDS 2030 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,US02630T7129
AAEUX,"American Century One Choice Blend+ 2065 Portfolio R Class",USA,NMFQS,USD,FUND,
AAEVX,"American Century One Choice Blend+ 2065 Portfolio R6 Class",USA,NMFQS,USD,FUND,
AAEWX,"American Century One Choice Blend+ 2030 Portfolio I Class",USA,NMFQS,USD,FUND,
AAEZX,"Enhanced Fixed Income Fund",USA,NMFQS,USD,"Mutual Fund",
AAFRF,"Airtel Africa Plc",USA,PINK,USD,"Common Stock",
AAFTX,"AMERICAN FUNDS 2035 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,US02630T6477
AAFXX,"American Funds U.S. Government Money Market Fund Class 529-A",USA,NMFQS,USD,FUND,
AAGC,"All American Gld Crp",USA,PINK,USD,"Common Stock",US01643V1026
AAGFF,"Aftermath Silver Ltd",USA,OTCQX,USD,"Common Stock",
AAGH,"America Great Health",USA,PINK,USD,"Common Stock",US02365T1016
AAGIY,"AIA Group Ltd ADR",USA,PINK,USD,"Common Stock",US0013172053
AAGOX,"ALGER LARGE CAP GROWTH PORTFOLIO ALGER LARGE CAP GROWTH PORTFOLIO CLASS I-2",USA,NMFQS,USD,FUND,US0155445051
AAGPX,"AMERICAN BEACON LARGE CAP VALUE FUND INVESTOR CLASS",USA,NMFQS,USD,FUND,US02368A8100
AAGRY,"Astra Agro Lestari TBK",USA,PINK,USD,"Common Stock",US0463011074
AAGTX,"AMERICAN FUNDS 2040 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,US02630T5719
AAHMX,"Aberdeen Short Duration High Yield Municipal Fund Class A",USA,NMFQS,USD,FUND,
AAHTX,"AMERICAN FUNDS 2045 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,US02630T5149
AAHYX,"THRIVENT DIVERSIFIED INCOME PLUS FUND CLASS A",USA,NMFQS,USD,FUND,US8858824720
AAIBX,"MODERATE DURATION FUND CLASS A",USA,NMFQS,USD,FUND,
AAIC,"Arlington Asset Investment Corp",USA,NYSE,USD,"Common Stock",US0413562051
AAIC-P-B,AAIC-P-B,USA,NYSE,USD,"Preferred Stock",
AAIC-P-C,AAIC-P-C,USA,NYSE,USD,"Preferred Stock",
AAIC-PB,"Arlington Asset Investment Corp",USA,NYSE,USD,"Preferred Stock",
AAIC-PC,"Arlington Asset Investment Corp",USA,NYSE,USD,"Preferred Stock",
AAIDX,"Axonic Alternative Income Fund",USA,NASDAQ,USD,FUND,
AAIEX,"AMERICAN BEACON INTERNATIONAL EQUITY FUND INSTITUTIONAL CLASS",USA,NMFQS,USD,FUND,US02368A4067
AAIGF,"AIA Group Ltd",USA,PINK,USD,"Common Stock",HK0000069689
AAIIQ,"Alabama Aircraft Industries Inc",USA,PINK,USD,"Common Stock",US7064441063
AAIIX,"ANCORA INCOME FUND CLASS I",USA,NMFQS,USD,FUND,
AAIN,AAIN,USA,NYSE,USD,"Common Stock",
AAINX,"THRIVENT OPPORTUNITY INCOME PLUS FUND CLASS A",USA,NMFQS,USD,FUND,US8858827046
AAIPX,"AMERICAN BEACON INTERNATIONAL EQUITY FUND INVESTOR CLASS",USA,NMFQS,USD,FUND,US02368A7946
AAIRD,AAIRD,USA,PINK,USD,"Common Stock",
AAIRF,"American Aires Inc",USA,PINK,USD,"Common Stock",
AAISX,"AMERICAN BEACON INTERNATIONAL EQUITY FUND ADVISOR CLASS",USA,NMFQS,USD,FUND,
AAL,"American Airlines Group",USA,NASDAQ,USD,"Common Stock",US02376R1023
AALBF,"Aalberts N.V",USA,PINK,USD,"Common Stock",
AALGX,"THRIVENT LARGE CAP STOCK FUND CLASS A",USA,NMFQS,USD,FUND,US8858828606
AALRX,"American Beacon Large Cap Value Fund R6",USA,NMFQS,USD,FUND,
AALTX,"AMERICAN FUNDS 2050 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,US02630T4498
AALXX,"Thrivent Money Market Fund Class S",USA,NMFQS,USD,FUND,
AAM-P-A,AAM-P-A,USA,NYSE,USD,"Preferred Stock",
AAM-P-B,AAM-P-B,USA,NYSE,USD,"Preferred Stock",
AAM-PA,"Apollo Global Management Inc.",USA,NYSE,USD,"Preferred Stock",
AAM-PB,"Apollo Global Management Inc.",USA,NYSE,USD,"Preferred Stock",
AAMAF,"Atlas Mara Limited",USA,PINK,USD,"Common Stock",
AAMAX,"ABSOLUTE CAPITAL ASSET ALLOCATOR FUND ABSOLUTE CAPITAL ASSET ALLOCATOR FUND CLASS A SHARES",USA,NMFQS,USD,FUND,
AAMBAX,"Advisor's Disp Tr 376 Build America Bond Ptf Srs 1",USA,NMFQS,USD,FUND,
AAMBBX,"Advisor's Disciplined Tr 387 Build America Bd Pft Srs 2",USA,NMFQS,USD,FUND,
AAMBCX,"Advisors Dis Tr 420 Build America Bond Portfolio Series 3",USA,NMFQS,USD,FUND,
AAMBDX,"Advisors Dis Tr 433 Build America Bond Ptf Srs 4",USA,NMFQS,USD,FUND,
AAMBEX,"Advisors Dis Tr 448 Build America Bond Ptf Series 5",USA,NMFQS,USD,FUND,
AAMBFX,"Advisor's Disp Tr 456 Build America Bond Portfolio Srs 6",USA,NMFQS,USD,FUND,
AAMBGX,"Advisors Dis Tr 473 Build America Bond Ptf Srs 7",USA,NMFQS,USD,FUND,
AAMBHX,"Advisors Dis Tr 482 Build America Bond Ptf Srs 8",USA,NMFQS,USD,FUND,
AAMBIX,"Advisors Dis Tr 490 Build America Bond Ptf Srs 9",USA,NMFQS,USD,FUND,
AAMBX,"THRIVENT MUNICIPAL BOND FUND CLASS A",USA,NMFQS,USD,FUND,US8858826212
AAMC,"Altisource Asset Management Corp",USA,"NYSE MKT",USD,"Common Stock",VI02153X1080
AAMCX,"ABSOLUTE CAPITAL ASSET ALLOCATOR FUND ABSOLUTE CAPITAL ASSET ALLOCATOR FUND INVESTOR CLASS SHARES",USA,NMFQS,USD,FUND,
AAME,"Atlantic American Corporation",USA,NASDAQ,USD,"Common Stock",US0482091008
AAMEHX,"Advisors Dis Tr 386 Insured Tax Exempt Mun Ptf Lg Term Srs 5",USA,NMFQS,USD,FUND,
AAMEIX,"Advisors Dis Tr 360 Insured Tax Exempt Muni Ptf Long Term Srs 6",USA,NMFQS,USD,FUND,
AAMEJX,"Advisors Dis Tr 408 Insured Tax Exempt Municipal Ptf Long Term Srs 7",USA,NMFQS,USD,FUND,
AAMEKX,"Advisors Dis Tr 424 Insured Tax Exempt Muni Ptf Long Term Srs 8",USA,NMFQS,USD,FUND,
AAMELX,"Advisors Dis Tr 434 Insured Tax Exempt Muni Ptf Long Term Srs 9",USA,NMFQS,USD,FUND,
AAMIX,"ABSOLUTE CAPITAL ASSET ALLOCATOR FUND ABSOLUTE CAPITAL ASSET ALLOCATOR FUND INSTITUTIONAL CLASS SHARES",USA,NMFQS,USD,FUND,
AAMLBX,"Advisors Dis Tr 860 Tax Exempt Municipal Ptf Invest. Grade march 2012 Series",USA,NMFQS,USD,FUND,
AAMMF,"Almadex Minerals Ltd",USA,PINK,USD,"Common Stock",
AAMOX,"ALGER SMID CAP FOCUS PORTFOLIO ALGER SMID CAP FOCUS PORTFOLIO CLASS I-2",USA,NMFQS,USD,FUND,
AAMTF,"Armada Mercantile Ltd",USA,PINK,USD,"Common Stock",
AAMTX,"AMERICAN FUNDS 2055 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,US02630T2740
AAN,"Aarons Inc",USA,NYSE,USD,"Common Stock",US00258W1080
AANNF,"Aroundtown SA",USA,PINK,USD,"Common Stock",
AANTX,"AMERICAN FUNDS 2060 TARGET DATE RETIREMENT FUND CLASS A",USA,NMFQS,USD,FUND,
AAOI,"Applied Opt",USA,NASDAQ,USD,"Common Stock",US03823U1025
AAON,"AAON Inc",USA,NASDAQ,USD,"Common Stock",US0003602069
AAOPX,"OPPORTUNISTIC FUND CLASS A",USA,NMFQS,USD,FUND,
AAOTX,"American Funds 2065 Target Date Retirement Fund",USA,NMFQS,USD,FUND,
AAOXX,"American Beacon U.S. Government Money Market Select Fund",USA,NMFQS,USD,FUND,
AAP,"Advance Auto Parts Inc",USA,NYSE,USD,"Common Stock",US00751Y1064
AAPB,"GraniteShares ETF Trust - GraniteShares 2x Long Tilray Daily ETF",USA,NASDAQ,USD,ETF,US38747R8842
AAPD,"Direxion Shares ETF Trust - Direxion Daily AAPL Bear 1X Shares",USA,NASDAQ,USD,ETF,US25461A3041
AAPJ,"AAP Inc",USA,PINK,USD,"Common Stock",US00037T1034
AAPL,"Apple Inc",USA,NASDAQ,USD,"Common Stock",US0378331005
AAPT,"All American Pet Co",USA,PINK,USD,"Common Stock",US01644F1066
AAPU,"Direxion Shares ETF Trust - Direxion Daily AAPL Bull 1.5X Shares",USA,NASDAQ,USD,ETF,US25461A8743
AARTX,"Stone Ridge Art Risk Premium Fund",USA,NASDAQ,USD,FUND,
AARTY,"Airtel Africa Plc",USA,PINK,USD,"Common Stock",
AASCX,"THRIVENT MID CAP STOCK FUND CLASS A",USA,NMFQS,USD,FUND,US8858826881
AASMX,"THRIVENT SMALL CAP STOCK FUND CLASS A",USA,NMFQS,USD,FUND,US8858825719
AASOX,"ALGER SMALL CAP GROWTH PORTFOLIO ALGER SMALL CAP GROWTH PORTFOLIO CLASS I-2",USA,NMFQS,USD,FUND,US0155444062
AASP,"Global Acquisitions Corporation",USA,PINK,USD,"Common Stock",US01643P1057
AASRX,"American Beacon Small Cap Value Fund R6",USA,NMFQS,USD,FUND,
AASSX,"AMERICAN BEACON SMALL CAP VALUE FUND ADVISOR CLASS",USA,NMFQS,USD,FUND,US02368A4307
AASTX,"LIMITED DURATION FUND CLASS A",USA,NMFQS,USD,FUND,
AASZF,"Atlantic Sapphire ASA",USA,OTCQX,USD,"Common Stock",
AAT,"American Assets Trust Inc",USA,NYSE,USD,"Common Stock",US0240131047
AATC,"Autoscope Technologies Corp",USA,PINK,USD,"Common Stock",US0533061067
AATGF,"ATI Airtest Technologies Inc",USA,PINK,USD,"Common Stock",
AATIX,"ANCORA/THELEN SMALL-MID CAP CLASS I",USA,NMFQS,USD,FUND,
AATRL,"Amg Cap Tr Ii",USA,PINK,USD,"Common Stock",US00170F2092
AATSX,"ANCORA/THELEN SMALL-MID CAP CLASS S",USA,NMFQS,USD,FUND,
AATV,"Adaptive Ad Systems Inc",USA,PINK,USD,"Common Stock",US00650A1007
AAU,"Almaden Minerals Ltd",USA,"NYSE MKT",USD,"Common Stock",CA0202833053
AAUGD,"Angold Resources Ltd.",USA,PINK,USD,"Common Stock",
AAUGF,"Angold Resources Ltd",USA,PINK,USD,"Common Stock",
AAUKF,"Anglo American plc",USA,OTCQX,USD,"Common Stock",USG037641002
AAUSX,"Cavanal Hill Ultra Short Tax-Free Income Fund Class A",USA,NMFQS,USD,FUND,
AAUTX,"THRIVENT LARGE CAP VALUE FUND CLASS A",USA,NMFQS,USD,FUND,US8858828374
AAVMY,"ABN AMRO Bank N.V",USA,PINK,USD,"Common Stock",
AAVVF,"Advantage Oil & Gas Ltd.",USA,PINK,USD,"Common Stock",CA00791P1071
AAVXF,"ABIVAX Société Anonyme",USA,PINK,USD,"Common Stock",
AAWEX,"WORLD ENERGY FUND CLASS A",USA,NMFQS,USD,FUND,
AAWH,"Ascend Wellness Holdings Inc",USA,OTCQX,USD,"Common Stock",US04351N1063
AAXJ,"iShares MSCI All Country Asia ex Japan ETF",USA,NASDAQ,USD,ETF,US4642881829
AAYYY,"Australian Agricultural Company Limited",USA,PINK,USD,"Common Stock",
AAZAX,"AB ARIZONA PORTFOLIO CLASS A",USA,NMFQS,USD,FUND,US01864E7976
AAZCX,"AB ARIZONA PORTFOLIO CLASS C",USA,NMFQS,USD,FUND,
AAZXX,"American Funds U.S. Government Money Market Fund",USA,NMFQS,USD,FUND,
AB,"AllianceBernstein Holding L.P. ",USA,NYSE,USD,"Common Stock",US01881G1067
ABAEX,"AB EMERGING MARKETS MULTI-ASSET PORTFOLIO CLASS A",USA,NMFQS,USD,FUND,
ABAKF,"Aberdeen Asia-Pacific Income Investment Company Limited",USA,PINK,USD,"Common Stock",
ABALX,"American Balanced Fund Class A Sh",USA,NMFQS,USD,FUND,US0240711020
ABANF,"Automatic Bank Services Limited",USA,PINK,USD,"Common Stock",
ABASX,"AB DISCOVERY VALUE FUND CLASS A",USA,NMFQS,USD,FUND,US0189141015
ABBB,"Auburn Bancorp Inc",USA,PINK,USD,"Common Stock",US0502541016
ABBNY,"ABB Ltd",USA,OTCMKTS,USD,"Common Stock",US0003752047
ABBRF,"AbraSilver Resource Corp",USA,OTCQX,USD,"Common Stock",CA00379L1067
ABBV,"AbbVie Inc",USA,NYSE,USD,"Common Stock",US00287Y1091
ABCAF,"Athabasca Minerals Inc",USA,PINK,USD,"Common Stock",
ABCAX,"AMERICAN BEACON THE LONDON COMPANY INCOME EQUITY FUND A CLASS",USA,NMFQS,USD,FUND,US0245271038
ABCB,"Ameris Bancorp",USA,NASDAQ,USD,"Common Stock",US03076K1088
ABCCX,"AMERICAN BEACON BALANCED FUND C CLASS",USA,NMFQS,USD,FUND,
ABCE,"ABCO Energy Inc",USA,PINK,USD,"Common Stock",US00287V4023
ABCEX,"AB EMERGING MARKETS MULTI-ASSET PORTFOLIO CLASS C",USA,NMFQS,USD,FUND,
ABCFF,"Abacus Mining & Exploration Corporation",USA,PINK,USD,"Common Stock",
ABCIX,"AMERICAN BEACON THE LONDON COMPANY INCOME EQUITY FUND INSTITUTIONAL CLASS",USA,NMFQS,USD,FUND,US0245274008
ABCL,"Abcellera Biologics Inc",USA,NASDAQ,USD,"Common Stock",CA00288U1066
ABCM,Abcam PLC,USA,NASDAQ,USD,"Common Stock",US0003802040
ABCP,"Ambase Corp",USA,PINK,USD,"Common Stock",US0231641061
ABCRX,"American Beacon The London Company Income Equity Fund Class R6",USA,NMFQS,USD,FUND,
ABCSX,"AB DISCOVERY VALUE FUND CLASS C",USA,NMFQS,USD,FUND,US0189143094
ABCVX,"AMERICAN BEACON THE LONDON COMPANY INCOME EQUITY FUND INVESTOR CLASS",USA,NMFQS,USD,FUND,
ABCYX,"AMERICAN BEACON THE LONDON COMPANY INCOME EQUITY FUND Y CLASS",USA,NMFQS,USD,FUND,US0245273018
ABCZF,"Abcam plc",USA,PINK,USD,"Common Stock",
ABDAX,"COLUMBIA CAPITAL ALLOCATION CONSERVATIVE PORTFOLIO COLUMBIA CAPITAL ALLOCATION CONSERVATIVE PORTFOLIO CLASS A",USA,NMFQS,USD,FUND,US19766G5466
ABDDF,"AB Dynamics plc",USA,PINK,USD,"Common Stock",
ABECX,"AMERICAN BEACON THE LONDON COMPANY INCOME EQUITY FUND C CLASS",USA,NMFQS,USD,FUND,US0245272028
ABEIX,"Aberdeen Tax-Free Income Fund Inst Class",USA,NMFQS,USD,FUND,US0030222097
ABEMX,"Aberdeen Emerging Markts Fund Insti Clss",USA,NMFQS,USD,FUND,US0030217147
ABEO,"Abeona Therapeutics Inc",USA,NASDAQ,USD,"Common Stock",US00289Y1073
ABEPF,"Vision Lithium Inc",USA,OTCQB,USD,"Common Stock",
ABEQ,"Absolute Core Strategy ETF",USA,"NYSE ARCA",USD,ETF,US90470L5681
ABESX,"Aberdeen Tax-Free Income Fund Inst Servi",USA,NMFQS,USD,FUND,
ABEV,"Ambev SA ADR",USA,NYSE,USD,"Common Stock",US02319V1035
ABEYX,"AMERICAN BEACON INTERNATIONAL EQUITY FUND Y CLASS",USA,NMFQS,USD,FUND,US02368A1907
ABFAX,"AMERICAN BEACON BALANCED FUND A CLASS",USA,NMFQS,USD,FUND,
ABG,"Asbury Automotive Group Inc",USA,NYSE,USD,"Common Stock",US0434361046
ABGNX,"BALANCED FUND R5 CLASS",USA,NMFQS,USD,FUND,
ABGSF,"ABG Sundal Collier Holding ASA",USA,PINK,USD,"Common Stock",
ABHBY,"Alfen N.V.",USA,OTCGREY,USD,"Common Stock",
ABHFX,"AMERICAN HIGH-INCOME MUNICIPAL BOND FUND CLASS F-1",USA,NMFQS,USD,FUND,US0265454001
